"id","name","district_id","sub_name","postal_code","longitude","latitude","created_at","updated_at","deleted_at"
"3","Ampara","1",,"32000","81.67834","7.29173","2025-09-04 21:57:32","2025-09-04 21:57:32",NULL
"11","Attidiya ","5",,"10290","79.88654","6.83004","2025-09-04 21:57:32","2025-09-04 21:57:32",NULL
"12","Battaramulla","5",,"10120","79.922136","6.900299","2025-09-04 21:57:32","2025-09-04 21:57:32",NULL
"13","Boralesgamuwa","5",,"290","79.9006","6.8425","2025-09-04 21:57:32","2025-09-04 21:57:32",NULL
"15","Colombo 01","5","(Fort)","100","79.841667","6.925833","2025-09-04 21:57:32","2025-09-04 21:57:32",NULL
"16","Colombo 02","5","(Union Place, Slave Island)","200","79.848611","6.926944","2025-09-04 21:57:32","2025-09-04 21:57:32",NULL
"17","Colombo 03","5","(Colpetty, Kolpity)","300","79.853333","6.900556","2025-09-04 21:57:32","2025-09-04 21:57:32",NULL
"18","Colombo 04","5","(Bambalapitiya)","400","79.856667","6.888889","2025-09-04 21:57:32","2025-09-04 21:57:32",NULL
"19","Colombo 05","5","(Thimbirigashaya, Narahenpita, Havelock road, Kirulapana)","500","79.865278","6.879444","2025-09-04 21:57:32","2025-09-04 21:57:32",NULL
"20","Colombo 06","5","(Wellawatte, Pamankada)","600","79.860483","6.874657","2025-09-04 21:57:32","2025-09-04 21:57:32",NULL
"21","Colombo 07","5","(Cinnamon Gardens)","700","79.863333","6.906667","2025-09-04 21:57:32","2025-09-04 21:57:32",NULL
"22","Colombo 08","5","(Borella)","800","79.877778","6.914722","2025-09-04 21:57:32","2025-09-04 21:57:32",NULL
"23","Colombo 09","5","(Dematagoda, Punchi Borella)","900","79.87472","6.93165","2025-09-04 21:57:32","2025-09-04 21:57:32",NULL
"24","Colombo 10","5","(Maradana, Panchikawatte, Maligawatte)","1000","79.864167","6.928333","2025-09-04 21:57:32","2025-09-04 21:57:32",NULL
"25","Colombo 11","5","(Pettah)","1100","79.849722","6.936667","2025-09-04 21:57:32","2025-09-04 21:57:32",NULL
