"id","region_id","sub_region_name","created_at","updated_at","deleted_at"
"1","1","Southern Asia","2020-11-04 18:05:52","2020-11-04 18:05:52",NULL
"2","2","Northern Europe","2020-11-04 18:05:52","2020-11-04 18:05:52",NULL
"3","2","Southern Europe","2020-11-04 18:05:52","2020-11-04 18:05:52",NULL
"4","3","Northern Africa","2020-11-04 18:05:52","2020-11-04 18:05:52",NULL
"5","4","Polynesia","2020-11-04 18:05:52","2020-11-04 18:05:52",NULL
"6","3","Middle Africa","2020-11-04 18:05:52","2020-11-04 18:05:52",NULL
"7","5","Caribbean","2020-11-04 18:05:52","2020-11-04 18:05:52",NULL
"9","5","South America","2020-11-04 18:05:52","2020-11-04 18:05:52",NULL
"10","1","Western Asia","2020-11-04 18:05:52","2020-11-04 18:05:52",NULL
"11","4","Australia and New Zealand","2020-11-04 18:05:53","2020-11-04 18:05:53",NULL
"12","2","Western Europe","2020-11-04 18:05:53","2020-11-04 18:05:53",NULL
"13","2","Eastern Europe","2020-11-04 18:05:53","2020-11-04 18:05:53",NULL
"14","5","Central America","2020-11-04 18:05:53","2020-11-04 18:05:53",NULL
"15","3","Western Africa","2020-11-04 18:05:53","2020-11-04 18:05:53",NULL
"16","5","Northern America","2020-11-04 18:05:53","2020-11-04 18:05:53",NULL
"17","3","Southern Africa","2020-11-04 18:05:53","2020-11-04 18:05:53",NULL
"19","3","Eastern Africa","2020-11-04 18:05:53","2020-11-04 18:05:53",NULL
"20","1","South-Eastern Asia","2020-11-04 18:05:54","2020-11-04 18:05:54",NULL
"21","1","Eastern Asia","2020-11-04 18:05:54","2020-11-04 18:05:54",NULL
"22","4","Melanesia","2020-11-04 18:05:55","2020-11-04 18:05:55",NULL
"23","4","Micronesia","2020-11-04 18:05:55","2020-11-04 18:05:55",NULL
"25","1","Central Asia","2020-11-04 18:05:56","2020-11-04 18:05:56",NULL
