"id","code","name","created_at","updated_at","deleted_at"
"211","AFN","Afghan afghani","2020-11-05 10:34:32","2020-11-05 10:34:32",NULL
"212","EUR","Euro","2020-11-05 10:34:32","2020-11-05 10:34:32",NULL
"213","ALL","Albanian lek","2020-11-05 10:34:32","2020-11-05 10:34:32",NULL
"214","DZD","Algerian dinar","2020-11-05 10:34:33","2020-11-05 10:34:33",NULL
"215","USD","United State Dollar","2020-11-05 10:34:33","2020-11-05 10:34:33",NULL
"216","AOA","Angolan kwanza","2020-11-05 10:34:33","2020-11-05 10:34:33",NULL
"217","XCD","East Caribbean dollar","2020-11-05 10:34:33","2020-11-05 10:34:33",NULL
"218","AUD","Australian dollar","2020-11-05 10:34:33","2020-11-05 10:34:33",NULL
"219","GBP","British pound","2020-11-05 10:34:33","2020-11-05 10:34:33",NULL
"220","ARS","Argentine peso","2020-11-05 10:34:33","2020-11-05 10:34:33",NULL
"221","AMD","Armenian dram","2020-11-05 10:34:33","2020-11-05 10:34:33",NULL
"222","AWG","Aruban florin","2020-11-05 10:34:33","2020-11-05 10:34:33",NULL
"223","AZN","Azerbaijani manat","2020-11-05 10:34:33","2020-11-05 10:34:33",NULL
"224","BSD","Bahamian dollar","2020-11-05 10:34:33","2020-11-05 10:34:33",NULL
"225","BHD","Bahraini dinar","2020-11-05 10:34:33","2020-11-05 10:34:33",NULL
"226","BDT","Bangladeshi taka","2020-11-05 10:34:33","2020-11-05 10:34:33",NULL
"227","BBD","Barbadian dollar","2020-11-05 10:34:33","2020-11-05 10:34:33",NULL
"228","BYN","New Belarusian ruble","2020-11-05 10:34:34","2020-11-05 10:34:34",NULL
"229","BYR","Old Belarusian ruble","2020-11-05 10:34:34","2020-11-05 10:34:34",NULL
"230","BZD","Belize dollar","2020-11-05 10:34:34","2020-11-05 10:34:34",NULL
"231","XOF","West African CFA franc","2020-11-05 10:34:34","2020-11-05 10:34:34",NULL
"232","BMD","Bermudian dollar","2020-11-05 10:34:34","2020-11-05 10:34:34",NULL
"233","BTN","Bhutanese ngultrum","2020-11-05 10:34:34","2020-11-05 10:34:34",NULL
"234","INR","Indian rupee","2020-11-05 10:34:34","2020-11-05 10:34:34",NULL
"235","BOB","Bolivian boliviano","2020-11-05 10:34:34","2020-11-05 10:34:34",NULL
"237","BAM","Bosnia and Herzegovina convertible mark","2020-11-05 10:34:34","2020-11-05 10:34:34",NULL
"238","BWP","Botswana pula","2020-11-05 10:34:34","2020-11-05 10:34:34",NULL
"239","NOK","Norwegian krone","2020-11-05 10:34:34","2020-11-05 10:34:34",NULL
"240","BRL","Brazilian real","2020-11-05 10:34:34","2020-11-05 10:34:34",NULL
"245","BND","Brunei dollar","2020-11-05 10:34:35","2020-11-05 10:34:35",NULL
"246","SGD","Singapore dollar","2020-11-05 10:34:35","2020-11-05 10:34:35",NULL
"247","BGN","Bulgarian lev","2020-11-05 10:34:35","2020-11-05 10:34:35",NULL
"248","BIF","Burundian franc","2020-11-05 10:34:35","2020-11-05 10:34:35",NULL
"249","KHR","Cambodian riel","2020-11-05 10:34:35","2020-11-05 10:34:35",NULL
"251","XAF","Central African CFA franc","2020-11-05 10:34:35","2020-11-05 10:34:35",NULL
"252","CAD","Canadian dollar","2020-11-05 10:34:35","2020-11-05 10:34:35",NULL
"253","CVE","Cape Verdean escudo","2020-11-05 10:34:35","2020-11-05 10:34:35",NULL
"254","KYD","Cayman Islands dollar","2020-11-05 10:34:35","2020-11-05 10:34:35",NULL
"255","CLP","Chilean peso","2020-11-05 10:34:35","2020-11-05 10:34:35",NULL
"256","CNY","Chinese yuan","2020-11-05 10:34:35","2020-11-05 10:34:35",NULL
"257","COP","Colombian peso","2020-11-05 10:34:35","2020-11-05 10:34:35",NULL
"258","KMF","Comorian franc","2020-11-05 10:34:36","2020-11-05 10:34:36",NULL
"259","CDF","Congolese franc","2020-11-05 10:34:36","2020-11-05 10:34:36",NULL
"260","NZD","New Zealand dollar","2020-11-05 10:34:36","2020-11-05 10:34:36",NULL
"261","CKD","Cook Islands dollar","2020-11-05 10:34:36","2020-11-05 10:34:36",NULL
"262","CRC","Costa Rican colÃ³n","2020-11-05 10:34:36","2020-11-05 10:34:36",NULL
"263","HRK","Croatian kuna","2020-11-05 10:34:36","2020-11-05 10:34:36",NULL
"264","CUC","Cuban convertible peso","2020-11-05 10:34:36","2020-11-05 10:34:36",NULL
"265","CUP","Cuban peso","2020-11-05 10:34:36","2020-11-05 10:34:36",NULL
"266","ANG","Netherlands Antillean guilder","2020-11-05 10:34:36","2020-11-05 10:34:36",NULL
"267","CZK","Czech koruna","2020-11-05 10:34:36","2020-11-05 10:34:36",NULL
"268","DKK","Danish krone","2020-11-05 10:34:36","2020-11-05 10:34:36",NULL
"269","DJF","Djiboutian franc","2020-11-05 10:34:36","2020-11-05 10:34:36",NULL
"270","DOP","Dominican peso","2020-11-05 10:34:36","2020-11-05 10:34:36",NULL
"272","EGP","Egyptian pound","2020-11-05 10:34:36","2020-11-05 10:34:36",NULL
"274","ERN","Eritrean nakfa","2020-11-05 10:34:37","2020-11-05 10:34:37",NULL
"275","ETB","Ethiopian birr","2020-11-05 10:34:37","2020-11-05 10:34:37",NULL
"276","FKP","Falkland Islands pound","2020-11-05 10:34:37","2020-11-05 10:34:37",NULL
"277","(no","Faroese krÃ³na","2020-11-05 10:34:37","2020-11-05 10:34:37",NULL
"278","FJD","Fijian dollar","2020-11-05 10:34:37","2020-11-05 10:34:37",NULL
"279","XPF","CFP franc","2020-11-05 10:34:37","2020-11-05 10:34:37",NULL
"280","GMD","Gambian dalasi","2020-11-05 10:34:37","2020-11-05 10:34:37",NULL
"281","GEL","Georgian Lari","2020-11-05 10:34:37","2020-11-05 10:34:37",NULL
"282","GHS","Ghanaian cedi","2020-11-05 10:34:37","2020-11-05 10:34:37",NULL
"283","GIP","Gibraltar pound","2020-11-05 10:34:37","2020-11-05 10:34:37",NULL
"285","GTQ","Guatemalan quetzal","2020-11-05 10:34:37","2020-11-05 10:34:37",NULL
"287","GNF","Guinean franc","2020-11-05 10:34:37","2020-11-05 10:34:37",NULL
"288","GYD","Guyanese dollar","2020-11-05 10:34:37","2020-11-05 10:34:37",NULL
"289","HTG","Haitian gourde","2020-11-05 10:34:37","2020-11-05 10:34:37",NULL
"290","HNL","Honduran lempira","2020-11-05 10:34:38","2020-11-05 10:34:38",NULL
"291","HKD","Hong Kong dollar","2020-11-05 10:34:38","2020-11-05 10:34:38",NULL
"292","HUF","Hungarian forint","2020-11-05 10:34:38","2020-11-05 10:34:38",NULL
"293","ISK","Icelandic krÃ³na","2020-11-05 10:34:38","2020-11-05 10:34:38",NULL
"294","IDR","Indonesian rupiah","2020-11-05 10:34:38","2020-11-05 10:34:38",NULL
"295","IRR","Iranian rial","2020-11-05 10:34:39","2020-11-05 10:34:39",NULL
"296","IQD","Iraqi dinar","2020-11-05 10:34:39","2020-11-05 10:34:39",NULL
"297","IMP","Manx pound","2020-11-05 10:34:39","2020-11-05 10:34:39",NULL
"298","ILS","Israeli new shekel","2020-11-05 10:34:39","2020-11-05 10:34:39",NULL
"299","JMD","Jamaican dollar","2020-11-05 10:34:39","2020-11-05 10:34:39",NULL
"300","JPY","Japanese yen","2020-11-05 10:34:39","2020-11-05 10:34:39",NULL
"301","JEP","Jersey pound","2020-11-05 10:34:39","2020-11-05 10:34:39",NULL
"302","JOD","Jordanian dinar","2020-11-05 10:34:39","2020-11-05 10:34:39",NULL
"303","KZT","Kazakhstani tenge","2020-11-05 10:34:39","2020-11-05 10:34:39",NULL
"304","KES","Kenyan shilling","2020-11-05 10:34:39","2020-11-05 10:34:39",NULL
"306","KWD","Kuwaiti dinar","2020-11-05 10:34:39","2020-11-05 10:34:39",NULL
"307","KGS","Kyrgyzstani som","2020-11-05 10:34:39","2020-11-05 10:34:39",NULL
"308","LAK","Lao kip","2020-11-05 10:34:39","2020-11-05 10:34:39",NULL
"309","LBP","Lebanese pound","2020-11-05 10:34:40","2020-11-05 10:34:40",NULL
"310","LSL","Lesotho loti","2020-11-05 10:34:40","2020-11-05 10:34:40",NULL
"311","ZAR","South African rand","2020-11-05 10:34:40","2020-11-05 10:34:40",NULL
"312","LRD","Liberian dollar","2020-11-05 10:34:40","2020-11-05 10:34:40",NULL
"313","LYD","Libyan dinar","2020-11-05 10:34:40","2020-11-05 10:34:40",NULL
"314","CHF","Swiss franc","2020-11-05 10:34:40","2020-11-05 10:34:40",NULL
"315","MOP","Macanese pataca","2020-11-05 10:34:40","2020-11-05 10:34:40",NULL
"316","MKD","Macedonian denar","2020-11-05 10:34:40","2020-11-05 10:34:40",NULL
"317","MGA","Malagasy ariary","2020-11-05 10:34:40","2020-11-05 10:34:40",NULL
"318","MWK","Malawian kwacha","2020-11-05 10:34:40","2020-11-05 10:34:40",NULL
"319","MYR","Malaysian ringgit","2020-11-05 10:34:40","2020-11-05 10:34:40",NULL
"320","MVR","Maldivian rufiyaa","2020-11-05 10:34:40","2020-11-05 10:34:40",NULL
"322","MRO","Mauritanian ouguiya","2020-11-05 10:34:40","2020-11-05 10:34:40",NULL
"323","MUR","Mauritian rupee","2020-11-05 10:34:40","2020-11-05 10:34:40",NULL
"324","MXN","Mexican peso","2020-11-05 10:34:41","2020-11-05 10:34:41",NULL
"326","MDL","Moldovan leu","2020-11-05 10:34:41","2020-11-05 10:34:41",NULL
"327","MNT","Mongolian tÃ¶grÃ¶g","2020-11-05 10:34:41","2020-11-05 10:34:41",NULL
"328","MAD","Moroccan dirham","2020-11-05 10:34:41","2020-11-05 10:34:41",NULL
"329","MZN","Mozambican metical","2020-11-05 10:34:41","2020-11-05 10:34:41",NULL
"330","MMK","Burmese kyat","2020-11-05 10:34:41","2020-11-05 10:34:41",NULL
"331","NAD","Namibian dollar","2020-11-05 10:34:41","2020-11-05 10:34:41",NULL
"332","NPR","Nepalese rupee","2020-11-05 10:34:41","2020-11-05 10:34:41",NULL
"333","NIO","Nicaraguan cÃ³rdoba","2020-11-05 10:34:41","2020-11-05 10:34:41",NULL
"334","NGN","Nigerian naira","2020-11-05 10:34:41","2020-11-05 10:34:41",NULL
"336","KPW","North Korean won","2020-11-05 10:34:42","2020-11-05 10:34:42",NULL
"338","OMR","Omani rial","2020-11-05 10:34:42","2020-11-05 10:34:42",NULL
"339","PKR","Pakistani rupee","2020-11-05 10:34:42","2020-11-05 10:34:42",NULL
"343","PAB","Panamanian balboa","2020-11-05 10:34:42","2020-11-05 10:34:42",NULL
"345","PGK","Papua New Guinean kina","2020-11-05 10:34:42","2020-11-05 10:34:42",NULL
"346","PYG","Paraguayan guaranÃ­","2020-11-05 10:34:42","2020-11-05 10:34:42",NULL
"347","PEN","Peruvian sol","2020-11-05 10:34:42","2020-11-05 10:34:42",NULL
"348","PHP","Philippine peso","2020-11-05 10:34:42","2020-11-05 10:34:42",NULL
"349","PLN","Polish zÅ‚oty","2020-11-05 10:34:42","2020-11-05 10:34:42",NULL
"351","QAR","Qatari riyal","2020-11-05 10:34:42","2020-11-05 10:34:42",NULL
"352","RON","Romanian leu","2020-11-05 10:34:43","2020-11-05 10:34:43",NULL
"353","RUB","Russian ruble","2020-11-05 10:34:43","2020-11-05 10:34:43",NULL
"354","RWF","Rwandan franc","2020-11-05 10:34:43","2020-11-05 10:34:43",NULL
"355","SHP","Saint Helena pound","2020-11-05 10:34:43","2020-11-05 10:34:43",NULL
"356","WST","Samoan tÄlÄ","2020-11-05 10:34:43","2020-11-05 10:34:43",NULL
"357","STD","SÃ£o TomÃ© and PrÃ­ncipe dobra","2020-11-05 10:34:43","2020-11-05 10:34:43",NULL
"358","SAR","Saudi riyal","2020-11-05 10:34:43","2020-11-05 10:34:43",NULL
"359","RSD","Serbian dinar","2020-11-05 10:34:43","2020-11-05 10:34:43",NULL
"360","SCR","Seychellois rupee","2020-11-05 10:34:44","2020-11-05 10:34:44",NULL
"361","SLL","Sierra Leonean leone","2020-11-05 10:34:44","2020-11-05 10:34:44",NULL
"362","SBD","Solomon Islands dollar","2020-11-05 10:34:44","2020-11-05 10:34:44",NULL
"363","SOS","Somali shilling","2020-11-05 10:34:44","2020-11-05 10:34:44",NULL
"364","KRW","South Korean won","2020-11-05 10:34:44","2020-11-05 10:34:44",NULL
"365","SSP","South Sudanese pound","2020-11-05 10:34:44","2020-11-05 10:34:44",NULL
