"id","name","name_en","created_at","updated_at","deleted_at"
"1","සිංහල","Sinhala","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"2","தமிழ்","Tamil","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"3","English","English","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"4","हिन्दी","Hindi","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"5","বাংলা","Bengali","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"6","తెలుగు","Telugu","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"7","मराठी","Marathi","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"8","ગુજરાતી","Gujarati","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"9","ಕನ್ನಡ","Kannada","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"10","ଓଡ଼ିଆ","Odia","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"11","മലയാളം","Malayalam","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"12","ਪੰਜਾਬੀ","Punjabi","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"13","অসমীয়া","Assamese","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"14","मैथिली","Maithili","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"15","ᱥᱟᱱᱛᱟᱲᱤ","Santali","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"16","کٲشُر","Kashmiri","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"17","नेपाली","Nepali","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"18","कोंकणी","Konkani","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"19","ꯃꯩꯇꯩꯂꯣꯟ","Meitei (Manipuri)","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"20","बर'","Bodo","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"21","डोगरी","Dogri","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"22","سنڌي","Sindhi","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"23","संस्कृतम्","Sanskrit","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"24","भोजपुरी","Bhojpuri","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"25","राजस्थानी","Rajasthani","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"26","ತುಳು","Tulu","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"27","اردو","Urdu","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"28","پښتو","Pashto","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"29","بلوچی","Balochi","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"30","سرائیکی","Saraiki","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"31","ہندکو","Hindko","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"32","براہوئی","Brahui","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"33","شینا","Shina","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"34","بلتی","Balti","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"35","ꠍꠤꠟꠐꠤ","Sylheti","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"36","চাটগাঁইয়া","Chittagonian","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"37","روهينغيا","Rohingya","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"38","नेपाल भाषा","Newar (Nepal Bhasa)","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"39","मगर","Magar","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"40","तामाङ","Tamang","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"41","थारु","Tharu","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"42","गुरुङ","Gurung","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"43","लिम्बु","Limbu","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"44","ཤར་པ།","Sherpa","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"45","རྫོང་ཁ","Dzongkha","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"46","Tshangla","Tshangla","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"47","ᰛᰧᰵᰛᰧᰵ","Lepcha","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"48","ދިވެހި","Dhivehi","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"49","မြန်မာ","Burmese","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"50","ရှမ်း","Shan","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"51","Sgaw Karen","S’gaw Karen","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"52","မောန်","Mon","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"53","Tedim","Tedim Chin","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"54","ရခိုင်","Rakhine","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"55","العربية","Arabic (MSA)","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"56","العربية المصرية","Egyptian Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"57","العربية الشامية","Levantine Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"58","العربية الفلسطينية","Palestinian Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"59","العربية السورية","Syrian Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"60","العربية الأردنية","Jordanian Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"61","العربية العراقية","Iraqi Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"62","العربية الخليجية","Gulf Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"63","العربية النجدية","Najdi Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"64","العربية الحجازية","Hejazi Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"65","العربية اليمنية","Yemeni Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"66","العربية العمانية","Omani Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"67","العربية البحرينية","Bahraini Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"68","العربية الكويتية","Kuwaiti Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"69","العربية القطرية","Qatari Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"70","العربية الإماراتية","Emirati Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"71","العربية السودانية","Sudanese Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"72","الحسانية","Hassaniya Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"73","الدارجة المغربية","Moroccan Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"74","العربية الجزائرية","Algerian Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"75","العربية التونسية","Tunisian Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"76","العربية الليبية","Libyan Arabic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"77","ⵜⴰⵎⴰⵣⵉⵖⵜ","Tamazight","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"78","ⵜⴰⵛⴻⵍⵃⵉⵜ","Tachelhit","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"79","ⵜⴰⵔⵉⴼⵉⵜ","Tarifit","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"80","Taqbaylit","Kabyle","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"81","Tamasheq","Tuareg (Tamasheq)","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"82","Soomaali","Somali","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"83","Qafaraf","Afar","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"84","بداوية","Beja","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"85","Nòòbíín","Nobiin","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"86","Shikomori","Comorian","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"87","አማርኛ","Amharic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"88","ትግርኛ","Tigrinya","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"89","Kurdî","Kurdish (Kurmanji)","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"90","کوردیی سۆرانی","Kurdish (Sorani)","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"91","Հայերեն","Armenian","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"92","ܣܘܪܝܝܐ","Assyrian Neo-Aramaic","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"93","עברית","Hebrew","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"94","Türkçe","Turkish","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"95","فارسی","Persian (Farsi)","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"96","دری","Dari","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"97","Тоҷикӣ","Tajik","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"98","Azərbaycan dili","Azerbaijani","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"99","ქართული","Georgian","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"100","Ελληνικά","Greek","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"101","Русский","Russian","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"102","中文","Chinese","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"103","Bahasa Melayu","Malay","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"104","Bahasa Indonesia","Indonesian","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
"105","ไทย","Thai","2025-10-20 12:32:47","2025-10-20 12:32:47",NULL
